artifact_id,stage,system,artifact_type,path,status,provenance_status,manuscript_eligible,notes
GEO-322,geometry_optimization,HAP(322),CP2K log,2.GeoOpt_PreRelax/HAP_322_Perfect/cp2k_run/HAP_322_opt.log,partial,legacy_unverified,no,"Base and restart logs lack an explicit completion marker."
GEO-402,geometry_optimization,HAP(402),CP2K log,2.GeoOpt_PreRelax/HAP_402_Perfect/cp2k_run/HAP_402_opt.log,failed,legacy_unverified,no,"CP2K abort marker found."
GEO-410,geometry_optimization,HAP(410),CP2K log,2.GeoOpt_PreRelax/HAP_410_Perfect/cp2k_run/HAP_410_opt.log,partial,legacy_unverified,no,"No explicit completion marker found."
GEO-431,geometry_optimization,HAP(431),CP2K log,2.GeoOpt_PreRelax/HAP_431_Perfect/cp2k_run/HAP_431_opt.log,failed,legacy_unverified,no,"CP2K abort marker found."
GEO-502,geometry_optimization,HAP(502),CP2K log,2.GeoOpt_PreRelax/HAP_502_Perfect/cp2k_run/HAP_502_opt.log,partial,legacy_unverified,no,"Maximum optimization steps reached."
GEO-513,geometry_optimization,HAP(513),CP2K log,2.GeoOpt_PreRelax/HAP_513_Perfect/cp2k_run/HAP_513_opt.log,partial,legacy_unverified,no,"No explicit completion marker found."
CONFLICT-112-TEMPLATE,geometry_optimization,HAP(112),conflicted_input,2.GeoOpt_PreRelax/HAP_112_Perfect/cp2k_run/HAP_hkl_opt.inp,invalid,path_only,no,"Unresolved Git conflict markers."
CONFLICT-112-INPUT,geometry_optimization,HAP(112),conflicted_input,2.GeoOpt_PreRelax/HAP_112_Perfect/cp2k_run/HAP_112_opt.inp,invalid,path_only,no,"Unresolved Git conflict markers."
CONFLICT-202-TEMPLATE,geometry_optimization,HAP(202),conflicted_input,2.GeoOpt_PreRelax/HAP_202_Perfect/cp2k_run/HAP_hkl_opt.inp,invalid,path_only,no,"Unresolved Git conflict markers."
CONFLICT-202-INPUT,geometry_optimization,HAP(202),conflicted_input,2.GeoOpt_PreRelax/HAP_202_Perfect/cp2k_run/HAP_202_opt.inp,invalid,path_only,no,"Unresolved Git conflict markers."
CONFLICT-213-TEMPLATE,geometry_optimization,HAP(213),conflicted_input,2.GeoOpt_PreRelax/HAP_213_Perfect/cp2k_run/HAP_hkl_opt.inp,invalid,path_only,no,"Unresolved Git conflict markers."
CONFLICT-213-INPUT,geometry_optimization,HAP(213),conflicted_input,2.GeoOpt_PreRelax/HAP_213_Perfect/cp2k_run/HAP_213_opt.inp,invalid,path_only,no,"Unresolved Git conflict markers."
CONFLICT-213-ROOT-XYZ,geometry_optimization,HAP(213),conflicted_input,2.GeoOpt_PreRelax/HAP_213_Perfect/HAP_213_clean.xyz,invalid,path_only,no,"Unresolved Git conflict markers around a signed-zero coordinate."
CONFLICT-213-RUN-XYZ,geometry_optimization,HAP(213),conflicted_input,2.GeoOpt_PreRelax/HAP_213_Perfect/cp2k_run/HAP_213_clean.xyz,invalid,path_only,no,"Unresolved Git conflict markers around a signed-zero coordinate."
AIMD-300,aimd,HAP(300),CP2K trajectory,3.ML_AIMD/Step1_aimd_cp2k_runs/HAP_300_Perfect/HAP_300_md-1.ener,partial,legacy_unverified,no,"Run reached 200 steps but covers only 50 fs and has no manifest."
AIMD-322,aimd,HAP(322),CP2K trajectory,3.ML_AIMD/Step1_aimd_cp2k_runs/HAP_322_Perfect/HAP_322_md-1.ener,partial,legacy_unverified,no,"Run stops near 43.5 fs without a normal program-end marker."
AIMD-410,aimd,HAP(410),CP2K trajectory,3.ML_AIMD/Step1_aimd_cp2k_runs/HAP_410_Perfect/HAP_410_md-1.ener,invalid,legacy_unverified,no,"Temperature rises to approximately 2.2e5 K at the first step; not valid training evidence."
MLIP-DATASET,mlip_training,apatite pool,DeepMD dataset,,missing,none,no,"No populated pooled dataset is present."
MLIP-MODEL,mlip_training,apatite pool,trained model,,missing,none,no,"No trained or validated model artifact is present."
SCALEUP-RUN,scaleup,apatite interface,LAMMPS production run,,missing,none,no,"No qualifying scale-up result or manifest is present."
ENHANCED-RUN,enhanced_sampling,apatite interface,free-energy run,,missing,none,no,"Enhanced-sampling implementation and results are absent."
POST-HAP112,analysis,HAP(112),legacy postprocessing,4.PostProcess_Analysis/HAP112_DPA_NVTcsvr_Succeeded,invalid,legacy_unverified,no,"Raw inputs are absent; quality report says poor; legacy code could synthesize RDF-like fallback data."
FIG-PUBLICATION,publication,manuscript,publication figure set,,missing,none,no,"No provenance-complete publication figure is present."
